,beta,gamma,sse
0,0.02,0.01,255908.6174450467
1,0.03,0.01,3236029.940439551
2,0.03,0.02,255847.6761116259
3,0.04,0.01,9852121.89824315
4,0.04,0.02,3235789.907569485
5,0.04,0.03,255785.7484665607
6,0.05,0.01,20302426.691639155
7,0.05,0.02,9851687.354202965
8,0.05,0.03,3235546.2246938176
9,0.05,0.04,255722.83489995025
10,0.060000000000000005,0.01,34794069.855429426
11,0.060000000000000005,0.02,20301781.180386428
12,0.060000000000000005,0.03,9851246.30888992
13,0.060000000000000005,0.04,3235298.8922391185
14,0.060000000000000005,0.05,255658.93580793563
15,0.07,0.01,53543435.82734017
16,0.07,0.02,34793195.82064422
17,0.07,0.03,20301126.11836777
18,0.07,0.04,9850798.762769656
19,0.07,0.05,3235047.9106383435
20,0.07,0.060000000000000005,255594.0515926755
21,0.08,0.01,76776558.81218053
22,0.08,0.02,53542314.54479022
23,0.08,0.03,34792308.97615576
24,0.08,0.04,20300461.50609104
25,0.08,0.05,9850344.71631509
26,0.08,0.060000000000000005,3234793.2803310477
27,0.08,0.07,255528.18266235353
28,0.09,0.01,104729529.54517645
29,0.09,0.02,76775170.31810363
30,0.09,0.03,53541176.97234209
31,0.09,0.04,34791409.32251751
32,0.09,0.05,20299787.344071858
33,0.09,0.060000000000000005,9849884.17000588
34,0.09,0.07,3234535.001763332
35,0.09,0.08,255461.3294312174
36,0.09999999999999999,0.01,137648918.58139962
37,0.09999999999999999,0.02,104727852.56045324
38,0.09999999999999999,0.03,76773761.82023689
39,0.09999999999999999,0.04,53540023.11059798
40,0.09999999999999999,0.05,34790496.86029114
41,0.09999999999999999,0.060000000000000005,20299103.632833406
42,0.09999999999999999,0.07,9849417.12432888
43,0.09999999999999999,0.08,3234273.0753877293
44,0.09999999999999999,0.09,255393.49231952467
45,0.10999999999999999,0.01,175792216.7620361
46,0.10999999999999999,0.02,137646930.4312732
47,0.10999999999999999,0.03,104726151.61125356
48,0.10999999999999999,0.04,76772333.31923449
49,0.10999999999999999,0.05,53538852.960169345
50,0.10999999999999999,0.060000000000000005,34789571.59004639
51,0.10999999999999999,0.07,20298410.37290639
52,0.10999999999999999,0.08,9848943.579778083
53,0.10999999999999999,0.09,3234007.501663302
