,I_t
0,2062.0
1,2021.057273600091
2,1980.9248085939691
3,1941.5866757916074
4,1903.0272549815832
5,1865.231229103084
6,1828.1835785212522
7,1791.8695754043022
8,1756.2747782008582
9,1721.3850262159758
10,1687.1864342843182
11,1653.665387538977
12,1620.8085362744378
13,1588.602790902205
14,1557.0353169976192
15,1526.0935304364073
16,1495.76509261953
17,1466.0379057848982
18,1436.90010840455
19,1408.3400706658963
20,1380.3463900356537
21,1352.9078869051073
22,1326.013600315352
23,1299.65278376119
