,I_t
0,56860.0
1,57431.39883878281
2,58008.538840319925
3,58591.47767004858
4,59180.27357222131
5,59774.98537570795
6,60375.67249985563
7,60982.39496040738
8,61595.213375479805
9,62214.188971600626
10,62839.38358980646
11,63470.85969180159
12,64108.6803661783
13,64752.90933469928
14,65403.61095864292
15,66060.85024521194
16,66724.69285400602
17,67395.20510355914
18,68072.45397794226
19,68756.50713343186
20,69447.43290524514
21,70145.30031434249
22,70850.1790742979
23,71562.139598238
24,72281.25300585032
25,73007.59113046157
26,73741.22652618666
27,74482.23247514897
28,75230.68299477281
29,75986.6528451486
30,76750.2175364716
31,77521.45333655491
32,78300.43727841745
33,79087.24716794753
34,79881.96159164315
35,80684.65992442932
36,81495.42233755345
37,82314.32980655953
38,83141.46411934185
39,83976.90788427902
40,84820.74453844917
41,85673.05835592709
42,86533.93445616405
43,87403.45881245125
44,88281.7182604677
45,89168.80050691315
46,90064.79413822733
47,90969.78862939592
48,91883.87435284439
49,92807.14258742047
50,93739.68552746614
51,94681.59629198
52,95632.96893387102
53,96593.8984493044
54,97564.48078714061
55,98544.81285846839
56,99534.99254623282
57,100535.11871495919
58,101545.29122057372
59,102565.61092032217
60,103596.17968278711
61,104637.10039800499
62,105688.47698768385
63,106750.41441552293
64,107823.01869763475
65,108906.39691307108
66,110000.65721445365
67,111105.90883871059
68,112222.26211791972
69,113349.82849025971
70,114488.72051107019
71,115639.05186402187
72,116800.93737239772
73,117974.49301048642
74,119159.83591508896
75,120357.08439713977
76,121566.35795344335
77,122787.7772785275
78,124021.46427661442
79,125267.54207371078
80,126526.13502981786
81,127797.36875126309
82,129081.37010315404
83,130378.26722195615
84,131688.18952819533
85,133011.2677392868
86,134347.63388249115
87,135697.42130799932
88,137060.76470214708
89,138437.80010076106
90,139828.664902637
91,141233.49788315187
92,142652.43920801082
93,144085.6304471309
94,145533.2145886622
95,146995.33605314806
96,148472.1407078259
97,149963.77588106965
98,151470.39037697553
99,152992.13449009214
100,154529.16002029687
101,156081.62028781962
102,157649.6701484152
103,159233.46600868632
104,160833.16584155813
105,162448.92920190626
106,164080.91724233932
107,165729.29272913787
108,167394.22005835123
109,169075.86527205334
110,170774.39607475983
111,172489.98185000723
112,174222.79367709643
113,175973.00434800168
114,177740.78838444676
115,179526.32205515009
116,181329.7833932403
117,183151.35221384396
118,184991.21013184715
119,186849.54057983257
120,188726.5288261937
121,190622.3619934282
122,192537.2290766117
123,194471.32096205413
124,196424.8304461403
125,198397.95225435632
126,200390.88306050398
127,202403.82150610452
128,204436.96821999399
129,206490.52583811176
130,208564.69902348437
131,210659.6944864062
132,212775.72100481924
133,214912.98944489364
134,217071.71278181113
135,219252.10612075313
136,221454.38671809557
137,223678.77400281257
138,225925.4895980907
139,228194.75734315612
140,230486.80331531647
141,232801.85585221974
142,235140.1455743319
143,237501.90540763582
144,239887.37060655336
145,242296.77877709267
146,244730.36990022307
147,247188.3863554797
148,249671.07294479996
149,252178.67691659403
150,254711.4479900519
151,257269.6383796889
152,259853.50282013215
153,262463.2985911503
154,265099.2855429287
155,267761.7261215924
156,270450.8853949798
157,273167.03107866837
158,275910.43356225576
159,278681.3659358983
160,281480.1040171097
161,284306.92637782154
162,287162.11437170923
163,290045.9521617854
164,292958.72674826276
165,295900.7279966901
166,298872.24866636295
167,301873.5844390124
168,304905.03394777386
169,307966.89880643913
170,311059.48363899416
171,314183.0961094451
172,317338.0469519356
173,320524.6500011581
174,323743.2222230616
175,326994.08374585886
176,330277.55789133627
177,333593.97120646853
178,336943.65349534154
179,340326.937851386
180,343744.16068992525
181,347195.66178103944
182,350681.78428275
183,354202.87477452646
184,357759.2832911193
185,361351.36335672176
186,364979.47201946325
187,368643.9698862383
188,372345.2211578732
189,376083.5936646346
190,379859.45890208206
191,383673.1920672686
192,387525.17209529236
193,391415.78169620247
194,395345.4073922624
195,399314.4395555743
196,403323.2724460675
197,407372.3042498547
198,411461.93711795943
199,415592.5772054174
