,beta,gamma,sse
0,0.02,0.01,2135274.5065041673
1,0.03,0.01,1909160.8983946973
2,0.03,0.02,2135275.855568734
3,0.04,0.01,1693617.5015475769
4,0.04,0.02,1909162.1994001442
5,0.04,0.03,2135277.2176198037
6,0.05,0.01,1489009.9889300542
7,0.05,0.02,1693618.7512448844
8,0.05,0.03,1909163.5128502203
9,0.05,0.04,2135278.5926573887
10,0.060000000000000005,0.01,1295712.953059379
11,0.060000000000000005,0.02,1489011.1839435375
12,0.060000000000000005,0.03,1693620.012820815
13,0.060000000000000005,0.04,1909164.8387449363
14,0.060000000000000005,0.05,2135279.9806814934
15,0.07,0.01,1114110.1011691478
16,0.07,0.02,1295714.0898825217
17,0.07,0.03,1489012.3902447743
18,0.07,0.04,1693621.2862753824
19,0.07,0.05,1909166.1770843
20,0.07,0.060000000000000005,2135281.3816921306
21,0.08,0.01,944594.4536199714
22,0.08,0.02,1114111.1761603013
23,0.08,0.03,1295715.237376922
24,0.08,0.04,1489013.607833774
25,0.08,0.05,1693622.5716085925
26,0.08,0.060000000000000005,1909167.527868322
27,0.08,0.07,2135282.7956893076
28,0.09,0.01,787568.5455994434
29,0.09,0.02,944595.4629979528
30,0.09,0.03,1114112.2611798318
31,0.09,0.04,1295716.395542603
32,0.09,0.05,1489014.836710553
33,0.09,0.060000000000000005,1693623.8688204545
34,0.09,0.07,1909168.891097008
35,0.09,0.08,2135284.2226730324
36,0.09999999999999999,0.01,643444.6321566423
37,0.09999999999999999,0.02,787569.4854389837
38,0.09999999999999999,0.03,944596.4817342383
39,0.09999999999999999,0.04,1114113.3562277576
40,0.09999999999999999,0.05,1295717.5643795703
41,0.09999999999999999,0.060000000000000005,1489016.0768751157
42,0.09999999999999999,0.07,1693625.177910984
43,0.09999999999999999,0.08,1909170.2667703736
44,0.09999999999999999,0.09,2135285.6626433153
45,0.10999999999999999,0.01,512644.8966169995
46,0.10999999999999999,0.02,643445.4983837237
47,0.10999999999999999,0.03,787570.4339387488
48,0.10999999999999999,0.04,944597.5098288396
49,0.10999999999999999,0.05,1114114.4613040858
50,0.10999999999999999,0.060000000000000005,1295718.7438878345
51,0.10999999999999999,0.07,1489017.3283274744
52,0.10999999999999999,0.08,1693626.4988801857
53,0.10999999999999999,0.09,1909171.6548884225
54,0.10999999999999999,0.09999999999999999,2135287.115600167
55,0.11999999999999998,0.01,395601.66242364055
56,0.11999999999999998,0.02,512645.6850040377
57,0.11999999999999998,0.03,643446.3725440977
58,0.11999999999999998,0.04,787571.3910987478
59,0.11999999999999998,0.05,944598.5472817718
60,0.11999999999999998,0.060000000000000005,1114115.5764088277
61,0.11999999999999998,0.07,1295719.9340674097
62,0.11999999999999998,0.08,1489018.591067641
63,0.11999999999999998,0.09,1693627.831728071
64,0.11999999999999998,0.09999999999999999,1909173.0554511682
65,0.11999999999999998,0.10999999999999999,2135288.5815435946
66,0.12999999999999998,0.01,292757.60845186916
67,0.12999999999999998,0.02,395602.3685845516
68,0.12999999999999998,0.03,512646.4805677337
69,0.12999999999999998,0.04,643447.2546377806
70,0.12999999999999998,0.05,787572.3569189968
71,0.12999999999999998,0.060000000000000005,944599.5940930503
72,0.12999999999999998,0.07,1114116.701541998
73,0.12999999999999998,0.08,1295721.134918303
74,0.12999999999999998,0.09,1489019.8650956254
