,I_t
0,32872.0
1,31790.764776240685
2,30730.260473003556
3,29691.286561758978
4,28674.525514290002
5,27680.548767042175
6,26709.822836660354
7,25762.715521868216
8,24839.50213336975
9,23940.371699885043
10,23065.433104689073
11,22214.721113034208
12,21388.20225654943
13,20585.78054608228
14,19807.30298945399
15,19052.564895216754
16,18321.31494772555
17,17613.260042665137
18,16928.06987561085
19,16265.381279261268
20,15624.802307676595
21,15005.916068207427
22,14408.284303825109
23,13831.450730289502
24,13274.944134036194
25,12738.2812378562
26,12220.969342400915
27,11722.508752296275
28,11242.394996215022
29,10780.120850655923
30,10335.178177433714
31,9907.059585012234
32,9495.259923833057
33,9099.27762571885
34,8718.61589727942
35,8352.783777032042
36,8001.297065678269
37,7663.679138667497
38,7339.4616498326595
39,7028.1851345138475
40,6729.399520198605
41,6442.6645523095785
42,6167.55014236637
43,5903.636645343623
44,5650.515072645373
45,5407.787246719766
46,5175.0659029511235
47,4951.974744090039
48,4738.148452118576
49,4533.232662097819
50,4336.883902210157
51,4148.769503889189
52,3968.567485626644
53,3795.9664137582117
54,3630.665243258767
55,3472.3731413219966
56,3320.80929625955
57,3175.7027140302316
58,3036.7920044999196
59,2903.82515933734
60,2776.55932326895
61,2654.760560247419
62,2538.2036159319023
63,2426.6716777338124
64,2319.9561335485573
65,2217.8563301709833
66,2120.179332279514
67,2026.7396827705165
68,1937.359165129736
69,1851.8665684410648
70,1770.0974555539706
71,1691.8939348590284
72,1617.1044360556843
73,1545.583490237154
74,1477.1915145637736
75,1411.7946017477282
76,1349.2643145284933
77,1289.477485279156
78,1232.316020848677
79,1177.6667127137705
80,1125.4210524861228
81,1075.4750527958333
82,1027.729073549988
83,982.0876535459084
84,938.4593474016244
85,896.756567751289
86,856.8954326403831
87,818.795618044465
88,782.3802154257392
89,747.5755942336909
90,714.3112692493129
91,682.5197726669173
92,652.136530803047
93,623.0997453184682
94,595.3502788365536
95,568.8315448394321
96,543.4894017220392
97,519.2720508835395
98,496.12993873546577
99,474.0156625062557
100,452.8838797225997
101,432.691221249112
102,413.39620776923203
103,394.95916959192664
104,377.3421696706503
105,360.50892972309947
106,344.4247593425343
107,329.0564879938091
108,314.37239978973037
109,300.3421709459176
110,286.9368098149703
111,274.12859940340996
112,261.89104227757025
113,250.19880776732373
114,239.02768137925753
115,228.3545163336234
116,218.15718714208967
117,208.414545145997
118,199.10637593746534
119,190.21335858830588
120,181.71702661425846
121,173.5997306045915
122,165.8446024495707
123,158.43552110071516
124,151.3570798011206
125,144.59455472542638
126,138.13387497124688
127,131.96159384606622
128,126.06486139571616
129,120.43139812261353
130,115.04946984393094
131,109.90786364180823
132,104.99586485958653
133,100.30323509985882
134,95.82019118188528
135,91.5373850176145
136,87.44588436718882
137,83.53715443639052
138,79.80304028000883
139,76.23574997657693
140,72.82783854134283
141,69.57219254570158
142,66.46201541262907
143,63.49081335892061
144,60.652381956253315
145,57.94079328426009
146,55.35038364992677
147,52.87574184870425
148,50.51169794376516
149,48.25331254083138
150,46.09586653695625
151,44.03485132256386
152,42.06595941693037
153,40.18507551813829
154,38.38826794934697
155,36.671780484001204
156,35.032024533346984
157,33.465571680339366
158,31.96914654471417
159,30.53961996465321
160,29.174002481103237
161,27.869438111413242
162,26.62319839953351
163,25.432676730574414
164,24.295382898054044
165,23.20893791267244
166,22.17106904193725
167,21.179605070432
168,20.23247177096453
169,19.327687577260676
170,18.46335944927717
171,17.6376789225994
172,16.84891833376419
173,16.095427213706415
174,15.375628841871226
175,14.688016953861956
176,14.0311525958077
177,13.403661118935053
178,12.80422930811573
179,12.231602638436744
180,11.684582654102613
181,11.162024464230527
182,10.662834350339848
183,10.185967480567243
184,9.730425725858627
185,9.295255573599349
186,8.879546134345084
187,8.482427237508098
188,8.10306761203733
189,7.740673148306444
190,7.394485237591935
191,7.063779185683998
192,6.7478626973263
193,6.446074428327608
194,6.157782602328411
195,5.8823836893397985
196,5.61930114329998
197,5.367984196016319
198,5.1279067049778275
199,4.898566052634964
