,beta,gamma,sse
0,0.02,0.01,167738.71426847065
1,0.03,0.01,152828.1484968047
2,0.03,0.02,167739.22383373344
3,0.04,0.01,138472.14677863815
4,0.04,0.02,152828.64428287485
5,0.04,0.03,167739.73802094726
6,0.05,0.01,124690.51173523508
7,0.05,0.02,138472.6278102414
8,0.05,0.03,152829.14453999282
9,0.05,0.04,167740.25683012532
10,0.060000000000000005,0.01,111503.53268200978
11,0.060000000000000005,0.02,124690.97699901083
12,0.060000000000000005,0.03,138473.1131549571
13,0.060000000000000005,0.04,152829.6492681729
14,0.060000000000000005,0.05,167740.78026128162
15,0.07,0.01,98931.99633043756
16,0.07,0.02,111503.98112525811
17,0.07,0.03,124691.44641071462
18,0.07,0.04,138473.6028128005
19,0.07,0.05,152830.15846742995
20,0.07,0.060000000000000005,167741.30831442997
21,0.08,0.01,86997.19766781968
22,0.08,0.02,98932.42685983011
23,0.08,0.03,111504.43354377875
24,0.08,0.04,124691.91997036283
25,0.08,0.05,138474.09678378716
26,0.08,0.060000000000000005,152830.6721377787
27,0.08,0.07,167741.8409895842
28,0.09,0.01,75720.9510173632
29,0.09,0.02,86997.6091480739
30,0.09,0.03,98932.86118413939
31,0.09,0.04,111504.88993758902
32,0.09,0.05,124692.397677972
33,0.09,0.060000000000000005,138474.59506793288
34,0.09,0.07,152831.19027923394
35,0.09,0.08,167742.37828675867
36,0.09999999999999999,0.01,65125.60128105604
37,0.09999999999999999,0.02,75721.34226987786
38,0.09999999999999999,0.03,86998.02423495485
39,0.09999999999999999,0.04,98933.29930338396
40,0.09999999999999999,0.05,111505.35030670652
41,0.09999999999999999,0.060000000000000005,124692.87953355857
42,0.09999999999999999,0.07,138475.09766525353
43,0.09999999999999999,0.08,152831.71289181086
44,0.09999999999999999,0.09,167742.92020596738
45,0.10999999999999999,0.01,55234.035367847275
46,0.10999999999999999,0.02,65125.97108250885
47,0.10999999999999999,0.03,75721.73693255436
48,0.10999999999999999,0.04,86998.44292848233
49,0.10999999999999999,0.05,98933.7412175823
50,0.10999999999999999,0.060000000000000005,111505.81465114884
51,0.10999999999999999,0.07,124693.3655371397
52,0.10999999999999999,0.08,138475.6045757651
53,0.10999999999999999,0.09,152832.23997552434
54,0.10999999999999999,0.09999999999999999,167743.4667472249
55,0.11999999999999998,0.01,46069.693809660195
56,0.11999999999999998,0.02,55234.38244875172
57,0.11999999999999998,0.03,65126.34408923582
58,0.11999999999999998,0.04,75722.13500541323
59,0.11999999999999998,0.05,86998.86522867577
60,0.11999999999999998,0.060000000000000005,98934.18692675309
61,0.11999999999999998,0.07,111506.28297093403
