,I_t
0,438.0
1,455.84926487937173
2,474.42576706463166
3,493.7591239843524
4,513.8801582175673
5,534.8209464449163
6,556.6148703808523
7,579.2966697664767
8,602.9024975057207
9,627.4699770308505
10,653.0382619866695
11,679.6480983263041
12,707.3418889151159
13,736.1637607430675
14,766.1596348498068
15,797.3772990708069
16,829.8664837171359
17,863.6789403058157
18,898.868523462278
19,935.4912761211483
20,973.6055181564753
21,1013.2719385775946
22,1054.5536914320658
23,1097.5164955625696
24,1142.2287383702833
25,1188.761583743095
26,1237.1890843130616
27,1287.5882982137744
28,1340.0394105147657
29,1394.6258595168022
30,1451.4344680988304
31,1510.555580314512
32,1572.083203443695
33,1636.1151557118194
34,1702.7532198981705
35,1772.103303062058
36,1844.2756026244315
37,1919.3847790511406
38,1997.5501353930354
39,2078.895803947338
40,2163.5509403142714
41,2251.649925132737
42,2343.332573788962
43,2438.744354402432
44,2538.036614404128
45,2641.3668160330817
46,2748.898781088562
47,2860.802945286792
48,2977.2566225829833
49,3098.4442798316504
50,3224.557822170643
51,3355.7968895270824
52,3492.3691646564284
53,3634.4906931391906
54,3782.3862157733774
55,3936.2895138145736
56,4096.443767529585
57,4263.101928543848
58,4436.527106477262
59,4616.992970377717
60,4804.7841654763815
61,5000.1967458037125
62,5203.538623220096
63,5415.130033430101
64,5635.304019564293
65,5864.406933927583
66,6102.798958527935
67,6350.854645013982
68,6608.96347466458
69,6877.530439087521
70,7156.976642298419
71,7447.739924864119
72,7750.275510807686
73,8065.056677984152
74,8392.575452647361
75,8733.343328938636
76,9087.892014037132
77,9456.774199719755
78,9840.564361085006
79,10239.859583200054
80,10655.280416433405
81,11087.471761236553
82,11537.10378313672
83,12004.872858698904
84,12491.502553208758
85,12997.744630817835
86,13524.380097879312
87,14072.220280184896
88,14642.107934791911
89,15234.91839710312
90,15851.560763830146
91,16492.97911243387
92,17160.153757591503
93,17854.102545189402
94,18575.882184282476
95,19326.58961739478
96,20107.36342946043
97,20919.385295619035
98,21763.88146798407
99,22642.12430139554
100,23555.433818048576
101,24505.179310756554
102,25492.780984459474
103,26519.711635424926
104,27587.49836740832
105,28697.724343840153
106,29852.030574889388
107,31052.117738012144
108,32299.74803033192
109,33596.74705091055
110,34945.005710655314
111,36346.48216726628
112,37803.20378225611
113,39317.26909667115
114,40890.84982170488
115,42526.192839920615
116,44225.62221228821
117,45991.54118568553
118,47826.434194919304
119,49732.868852677246
120,51713.497920132715
121,53771.0612501818
122,55908.38769449804
123,58128.39696473924
124,60434.10143733209
125,62828.60789029033
126,65315.11915948938
127,67896.9357007216
128,70577.45704269072
129,73360.18311486815
130,76248.71543282767
131,79246.75812229596
132,82358.11876170445
133,85586.7090215024
134,88936.54507689156
135,92411.74776897102
136,96016.54248753787
137,99755.25874697679
138,103632.32942479492
139,107652.28963041987
140,111819.7751698854
141,116139.52056998872
142,120616.35662342276
143,125255.2074142794
144,130061.08678119513
145,135039.09417328693
146,140194.40985191774
147,145532.28938925988
148,151058.05741261272
149,156777.10054150404
150,162694.8594627921
151,168816.8200873208
152,175148.50373019837
153,181695.456255514
154,188463.2361253192
155,195457.40129203175
156,202683.4948731233
157,210147.02954708596
158,217853.47061029926
159,225808.21763560767
160,234016.58467523797
161,242483.77895321595
162,251214.87799575855
163,260214.80515230744
164,269488.3034650188
165,279039.90785071807
166,288873.91556665895
167,298994.3549399843
168,309404.9523506534
169,320109.09746887133
170,331109.80676079955
171,342409.6852906287
172,354010.88686300215
173,365915.0725673624
174,378123.36780507007
175,390636.317901149
176,403453.84242522856
177,416575.18837066076
178,429998.8823668253
179,443722.68212720996
180,457743.5273648379
181,472057.4904368379
182,486659.72701120615
183,501544.427080824
184,516704.76668226667
185,532132.8607094917
186,547819.7172447168
187,563755.1938602019
188,579927.9563747104
189,596325.4405765568
190,612933.8174507
191,629737.9624696553
192,646721.4295263313
193,663866.4301005055
194,681153.8182587788
195,698563.0820896918
196,716072.3421705139
197,733658.3576492599
198,751296.5405040787
199,768960.9785116691
