,beta,gamma,sse
0,0.01,0.02,81.66366468042848
1,0.01,0.03,131.12962345685202
2,0.02,0.03,81.66252845437657
3,0.01,0.04,308.67043134286325
4,0.02,0.04,131.1362228725174
5,0.03,0.04,81.66139260447483
6,0.01,0.05,599.1818211626411
7,0.02,0.05,308.68386385266103
8,0.03,0.05,131.14282306666692
9,0.04,0.05,81.66025713080408
10,0.01,0.060000000000000005,989.0240742572087
11,0.02,0.060000000000000005,599.201271525536
12,0.03,0.060000000000000005,308.69729748000304
13,0.04,0.060000000000000005,131.14942403936885
14,0.05,0.060000000000000005,81.65912203344578
15,0.01,0.07,1465.8868234050592
16,0.02,0.07,989.0488064835853
17,0.03,0.07,599.2207232896392
18,0.04,0.07,308.7107322249508
19,0.05,0.07,131.1560257906919
20,0.060000000000000005,0.07,81.6579873124803
21,0.01,0.08,2018.6661812297032
22,0.02,0.08,1465.9161734359682
23,0.03,0.08,989.073540346386
24,0.04,0.08,599.2401764549987
25,0.05,0.08,308.7241680875579
26,0.060000000000000005,0.08,131.1626283207048
27,0.07,0.08,81.6568529679888
28,0.01,0.09,2637.353070924858
29,0.02,0.09,2018.6995502835584
30,0.03,0.09,1465.9455252962139
31,0.04,0.09,989.0982758456516
32,0.05,0.09,599.2596310216641
33,0.060000000000000005,0.09,308.7376050678851
34,0.07,0.09,131.16923162947705
35,0.08,0.09,81.6557190000523
36,0.01,0.09999999999999999,3312.9317388179406
37,0.02,0.09999999999999999,2637.3899194507803
38,0.03,0.09999999999999999,2018.7329213227795
39,0.04,0.09999999999999999,1465.9748789858272
40,0.05,0.09999999999999999,989.1230129814257
41,0.060000000000000005,0.09999999999999999,599.2790869896817
42,0.07,0.09999999999999999,308.7510431659905
43,0.08,0.09999999999999999,131.1758357170766
44,0.09,0.09999999999999999,81.65458540875143
45,0.01,0.10999999999999999,4037.2875215569184
46,0.02,0.10999999999999999,3312.9715810004545
47,0.03,0.10999999999999999,2637.426770085994
48,0.04,0.10999999999999999,2018.7662943473938
