,date,I,R,D,C,I_p,C_p
0,2020-01-31,2,0,0,2,2.0,2.0
1,2020-02-01,2,0,0,2,2.0,2.0
2,2020-02-02,2,0,0,2,2.0,2.0
3,2020-02-03,2,0,0,2,1.9408910651478972,2.0
4,2020-02-04,2,0,0,2,1.9408910651478972,2.0
5,2020-02-05,2,0,0,2,1.9408910651478972,2.0
6,2020-02-06,2,0,0,2,1.9408910651478972,2.0
7,2020-02-07,3,0,0,3,1.9408910651478972,3.0
8,2020-02-08,3,0,0,3,1.9408910651478972,3.0
9,2020-02-09,3,0,0,3,6.84104624895784,3.0
10,2020-02-10,3,0,0,3,2.911336596256337,3.0
11,2020-02-11,3,0,0,3,2.911336596256337,3.0
12,2020-02-12,3,0,0,3,2.911336596256337,3.0
13,2020-02-13,3,0,0,3,2.911336596256337,3.0
14,2020-02-14,3,0,0,3,2.911336596256337,3.0
15,2020-02-15,3,0,0,3,2.911336596256337,3.0
16,2020-02-16,3,0,0,3,2.911336596256337,3.0
17,2020-02-17,3,0,0,3,2.911336596256337,3.0
18,2020-02-18,3,0,0,3,2.911336596256337,3.0
19,2020-02-19,3,0,0,3,2.911336596256337,3.0
20,2020-02-20,3,0,0,3,2.911336596256337,3.0
21,2020-02-21,19,0,1,20,2.911336596256337,20.0
22,2020-02-22,59,1,2,62,2.911336596256337,62.0
23,2020-02-23,150,2,3,155,56.17699223249188,155.0
24,2020-02-24,221,1,7,229,355.7859400070143,229.0
25,2020-02-25,311,1,10,322,981.4670160510146,322.0
26,2020-02-26,438,3,12,453,483.2082944670543,453.0
27,2020-02-27,593,45,17,655,612.8193967736429,655.0
28,2020-02-28,821,46,21,888,862.3814865886986,888.0
29,2020-02-29,1053,46,29,1128,1077.2431851616132,1128.0
30,2020-03-01,1577,83,34,1694,1595.634666865392,1694.0
31,2020-03-02,1835,149,52,2036,1737.8128288991534,2036.0
32,2020-03-03,2263,160,79,2502,3495.2912327114445,2502.0
33,2020-03-04,2706,276,107,3089,2473.182910374339,3089.0
34,2020-03-05,3296,414,148,3858,3444.475259221659,3858.0
35,2020-03-06,3916,523,197,4636,3882.072493446036,4636.0
36,2020-03-07,5061,589,233,5883,4928.698259177138,5883.0
37,2020-03-08,6387,622,366,7375,5488.548997571749,7375.0
38,2020-03-09,7985,724,463,9172,8537.363114374126,9172.0
39,2020-03-10,8794,724,631,10149,10089.102535093454,10149.0
40,2020-03-11,10590,1045,827,12462,12356.006275701726,12462.0
41,2020-03-12,13052,1045,1016,15113,10767.066853932163,15113.0
42,2020-03-13,14955,1439,1266,17660,15530.641488674046,17660.0
43,2020-03-14,17750,1966,1441,21157,19853.248368100307,21157.0
44,2020-03-15,20603,2335,1809,24747,19829.06394124608,24747.0
45,2020-03-16,23073,2749,2158,27980,24899.63678273108,27980.0
46,2020-03-17,26062,2941,2503,31506,27768.581926851384,31506.0
47,2020-03-18,28710,4025,2978,35713,28653.485530052607,35713.0
48,2020-03-19,33190,4440,3405,41035,33064.60001840663,41035.0
